iter	Passed	Remaining
609	4517	2888
610	4524	2880
611	4532	2873
612	4539	2865
613	4547	2858
614	4554	2851
615	4562	2844
616	4569	2836
617	4577	2829
618	4584	2821
619	4591	2814
620	4599	2806
621	4606	2799
622	4613	2791
623	4620	2784
624	4627	2776
625	4634	2768
626	4641	2761
627	4648	2753
628	4656	2746
629	4663	2739
630	4671	2731
631	4678	2724
632	4685	2716
633	4693	2709
634	4700	2702
635	4708	2694
636	4716	2687
637	4723	2680
638	4730	2672
639	4738	2665
640	4745	2657
641	4752	2650
642	4759	2642
643	4767	2635
644	4774	2627
645	4781	2620
646	4792	2614
647	4799	2607
648	4807	2600
649	4815	2592
650	4823	2585
651	4831	2578
652	4839	2571
653	4846	2564
654	4856	2557
655	4863	2550
656	4870	2542
657	4878	2535
658	4886	2528
659	4893	2521
660	4902	2514
661	4910	2507
662	4916	2499
663	4924	2491
664	4931	2484
665	4939	2477
666	4947	2470
667	4954	2462
668	4962	2455
669	4970	2448
670	4978	2440
671	4985	2433
672	4993	2426
673	5001	2419
674	5008	2411
675	5016	2404
676	5024	2396
677	5031	2389
678	5038	2382
679	5046	2374
680	5054	2367
681	5063	2360
682	5070	2353
683	5078	2346
684	5085	2338
685	5092	2330
686	5099	2323
687	5106	2315
688	5113	2308
689	5120	2300
690	5127	2293
691	5134	2285
692	5142	2278
693	5149	2270
694	5157	2263
695	5164	2255
696	5171	2248
697	5179	2240
698	5187	2233
699	5195	2226
700	5202	2219
701	5210	2211
702	5216	2203
703	5224	2196
704	5231	2189
705	5237	2181
706	5245	2173
707	5252	2166
708	5259	2158
709	5266	2151
710	5274	2143
711	5281	2136
712	5288	2128
713	5296	2121
714	5303	2113
715	5310	2106
716	5317	2098
717	5324	2091
718	5332	2083
719	5339	2076
720	5347	2069
721	5354	2061
722	5361	2054
723	5369	2047
724	5376	2039
725	5383	2031
726	5390	2024
727	5398	2016
728	5406	2009
729	5414	2002
730	5422	1995
731	5429	1987
732	5438	1981
733	5449	1974
734	5457	1967
735	5466	1960
736	5476	1954
737	5483	1946
738	5493	1940
739	5501	1932
740	5508	1925
741	5516	1918
742	5523	1910
743	5531	1903
744	5538	1895
745	5545	1888
746	5552	1880
747	5560	1873
748	5567	1865
749	5573	1857
750	5580	1850
751	5588	1842
752	5595	1835
753	5602	1827
754	5609	1820
755	5616	1812
756	5624	1805
757	5632	1798
758	5638	1790
759	5645	1782
760	5652	1775
761	5659	1767
762	5666	1760
763	5673	1752
764	5681	1745
765	5689	1737
766	5696	1730
767	5703	1722
768	5711	1715
769	5719	1708
770	5727	1701
771	5735	1693
772	5742	1686
773	5750	1679
774	5757	1671
775	5764	1664
776	5772	1656
777	5779	1649
778	5786	1641
779	5793	1634
780	5800	1626
781	5807	1618
782	5814	1611
783	5821	1603
784	5828	1596
785	5835	1588
786	5842	1581
787	5850	1573
788	5857	1566
789	5864	1558
790	5872	1551
791	5879	1544
792	5885	1536
793	5893	1528
794	5900	1521
795	5907	1514
796	5915	1506
797	5923	1499
798	5930	1491
799	5937	1484
800	5944	1476
801	5951	1469
802	5958	1461
803	5965	1454
804	5972	1446
805	5981	1439
806	5990	1432
807	5998	1425
808	6006	1418
809	6014	1410
810	6021	1403
811	6029	1395
812	6036	1388
813	6042	1380
814	6050	1373
815	6057	1365
816	6064	1358
817	6071	1350
818	6079	1343
819	6086	1336
820	6094	1328
821	6101	1321
822	6108	1313
823	6115	1306
824	6121	1298
825	6128	1291
826	6136	1283
827	6145	1276
828	6153	1269
829	6159	1261
830	6167	1254
831	6174	1246
832	6182	1239
833	6189	1232
834	6197	1224
835	6204	1217
836	6212	1209
837	6219	1202
838	6226	1194
839	6234	1187
840	6241	1180
841	6249	1172
842	6257	1165
843	6264	1157
844	6271	1150
845	6278	1142
846	6285	1135
847	6293	1128
848	6300	1120
849	6308	1113
850	6315	1105
851	6323	1098
852	6331	1091
853	6338	1083
854	6346	1076
855	6354	1068
856	6361	1061
857	6369	1054
858	6376	1046
859	6384	1039
860	6391	1031
861	6399	1024
862	6406	1017
863	6413	1009
864	6421	1002
865	6428	994
866	6435	987
867	6442	979
868	6449	972
869	6456	964
870	6463	957
871	6470	949
872	6478	942
873	6486	935
874	6493	927
875	6501	920
876	6508	912
877	6515	905
878	6523	898
879	6531	890
880	6538	883
881	6546	875
882	6554	868
883	6561	861
884	6569	853
885	6577	846
886	6585	838
887	6593	831
888	6600	824
889	6607	816
890	6614	809
891	6621	801
892	6628	794
893	6636	786
894	6642	779
895	6649	771
896	6657	764
897	6665	757
898	6672	749
899	6679	742
900	6686	734
901	6694	727
902	6701	719
903	6709	712
904	6717	705
905	6725	697
906	6732	690
907	6740	682
908	6747	675
909	6754	668
910	6761	660
911	6769	653
912	6777	645
913	6784	638
914	6792	630
915	6799	623
916	6808	616
917	6815	608
918	6823	601
919	6830	593
920	6837	586
921	6846	579
922	6853	571
923	6860	564
924	6868	556
925	6875	549
926	6883	542
927	6892	534
928	6899	527
929	6907	519
930	6914	512
931	6921	505
932	6928	497
933	6935	490
934	6943	482
935	6950	475
936	6958	467
937	6966	460
938	6975	453
939	6983	445
940	6991	438
941	6999	430
942	7007	423
943	7015	416
944	7023	408
945	7030	401
946	7038	393
947	7046	386
948	7053	379
949	7061	371
950	7068	364
951	7075	356
952	7083	349
953	7090	341
954	7097	334
955	7105	327
956	7112	319
957	7119	312
958	7126	304
959	7133	297
960	7140	289
961	7147	282
962	7154	274
963	7161	267
964	7168	260
965	7176	252
966	7184	245
967	7191	237
968	7199	230
969	7206	222
970	7214	215
971	7222	208
972	7229	200
973	7236	193
974	7244	185
975	7250	178
976	7258	170
977	7267	163
978	7275	156
979	7282	148
980	7291	141
981	7298	133
982	7305	126
983	7313	118
984	7321	111
985	7330	104
986	7338	96
987	7345	89
988	7353	81
989	7360	74
990	7367	66
991	7375	59
992	7383	52
993	7391	44
994	7398	37
995	7406	29
996	7412	22
997	7419	14
998	7428	7
999	7435	0
