iter	Logloss
0	0.6728571223
1	0.6548308217
2	0.6387684786
3	0.6240439367
4	0.6108912863
5	0.5994542375
6	0.5896202457
7	0.5805757597
8	0.5719697832
9	0.5649388598
10	0.558267374
11	0.5523849339
12	0.5469358357
13	0.5419482647
14	0.537406748
15	0.5331929878
16	0.5298264761
17	0.5266187203
18	0.5238373714
19	0.521090252
20	0.5186046392
21	0.5162539774
22	0.5143068668
23	0.5124763559
24	0.5107680798
25	0.5094626588
26	0.5079507665
27	0.5063588377
28	0.504942728
29	0.5038750629
30	0.5027491014
31	0.5018044082
32	0.5008915873
33	0.500168717
34	0.4992336606
35	0.4985484379
36	0.497770618
37	0.4971959434
38	0.4965434514
39	0.4959679105
40	0.4953479102
41	0.494880403
42	0.4944887635
43	0.4939992562
44	0.493490293
45	0.4929975721
46	0.4925798671
47	0.4923395815
48	0.491994152
49	0.4916301019
50	0.4912217812
51	0.4907480777
52	0.4904217158
53	0.4900312377
54	0.4897016974
55	0.4893252128
56	0.4890044444
57	0.4887319108
58	0.4884987874
59	0.4882284654
60	0.487878506
61	0.4875888185
62	0.4873071942
63	0.4870573684
64	0.4867763508
65	0.4865620846
66	0.4863304251
67	0.4861279176
68	0.4859749332
69	0.4857870674
70	0.4855538588
71	0.4853722339
72	0.4851481121
73	0.4849689501
74	0.4847940888
75	0.484554432
76	0.4843721986
77	0.4842375535
78	0.4841063315
79	0.483914811
80	0.4837377109
81	0.4835663526
82	0.4834077315
83	0.4832119176
84	0.4830146569
85	0.4828642338
86	0.4826811091
87	0.4825302889
88	0.482384804
89	0.4822673601
90	0.4821079542
91	0.482002891
92	0.4818735971
93	0.4816942134
94	0.4815688683
95	0.4814827853
96	0.481324546
97	0.4812026706
98	0.4811240149
99	0.4810141373
100	0.4808497418
101	0.4807106988
102	0.480516043
103	0.4804033508
104	0.4803038348
105	0.4801419609
106	0.4799790323
107	0.4798224404
108	0.4797196212
109	0.4796138456
110	0.4794994363
111	0.4793803258
112	0.4793068268
113	0.4791849034
114	0.4790530822
115	0.4789573896
116	0.4788405007
117	0.4787355749
118	0.4786647051
119	0.478537871
120	0.478410656
121	0.4782900836
122	0.4781418384
123	0.4779972588
124	0.4779212521
125	0.4778246522
126	0.477717476
127	0.4775937134
128	0.4774268827
129	0.4773278918
130	0.4772521374
131	0.4771390426
132	0.4770536351
133	0.4769259542
134	0.4768392442
135	0.4767243152
136	0.4766270584
137	0.4765478898
138	0.4763701289
139	0.4762551131
140	0.4761456765
141	0.476091225
142	0.475995062
143	0.4758520021
144	0.4757208466
145	0.4756151695
146	0.4754898895
147	0.4754012114
148	0.4753412729
149	0.4752323038
150	0.4751042777
151	0.4749985905
152	0.4749235688
153	0.4747442075
154	0.4746771665
155	0.4746164473
156	0.4744881086
157	0.474450533
158	0.4743857888
159	0.4742735694
160	0.4740968669
161	0.4740043636
162	0.4739641715
163	0.4738627543
164	0.4737711274
165	0.4736670886
166	0.4735692302
167	0.4734896129
168	0.4734092509
169	0.4733573682
170	0.4732478288
171	0.473106911
172	0.4729962909
173	0.4729321502
174	0.4727988086
175	0.4726843038
176	0.4725893561
177	0.4725184304
178	0.4724411898
179	0.4723235936
180	0.472281058
181	0.4721737761
182	0.4721046304
183	0.4719910269
184	0.4719226273
185	0.4718681293
186	0.4717780634
187	0.4716872835
188	0.4716242412
189	0.4715053501
190	0.4713977513
191	0.4712847457
192	0.4711476632
193	0.4710541776
194	0.4708813472
195	0.4708102768
196	0.4707330716
197	0.4706507701
198	0.4706073619
199	0.4704525248
200	0.4703358861
201	0.4702327037
202	0.4701567403
203	0.4700834264
204	0.4699355338
205	0.4698870367
206	0.4697474353
207	0.4695969038
208	0.4695243303
209	0.4694723321
210	0.4693764635
211	0.469240121
212	0.4691266559
213	0.469054567
214	0.4689462999
215	0.4688332114
216	0.4687187489
217	0.4686079427
218	0.46854325
219	0.4684867516
220	0.4683647792
221	0.468229249
222	0.4681012272
223	0.4679814044
224	0.4678745016
225	0.4677781538
226	0.4676895868
227	0.4675680193
228	0.4674263184
229	0.4672545608
230	0.4671176092
231	0.4669858768
232	0.466896441
233	0.4667492287
234	0.4666518487
235	0.4664889003
236	0.4664159502
237	0.4663218505
238	0.4662117502
239	0.4661650959
240	0.4660343242
241	0.4658765899
242	0.4657692697
243	0.465672433
244	0.465532771
245	0.4653940693
246	0.4652813782
247	0.4651922865
248	0.4651041865
249	0.4649847076
250	0.4648774543
251	0.4647767392
252	0.4646433742
253	0.464577137
254	0.4644757334
255	0.4644676732
256	0.4643886345
257	0.4642560811
258	0.4641200362
259	0.4640203177
260	0.4639184616
261	0.4637891582
262	0.4636918912
263	0.4635699627
264	0.4635173874
265	0.4633494832
266	0.4632523124
267	0.4631568179
268	0.4630405049
269	0.4629478139
270	0.4628364048
271	0.4627077144
272	0.4625725739
273	0.462505764
274	0.4623887312
275	0.4622953043
276	0.4622120449
277	0.462200346
278	0.4620606101
279	0.4619610865
280	0.4619068403
281	0.4617867545
282	0.4616931202
283	0.4615967691
284	0.4615083737
285	0.4614020383
286	0.4612590449
287	0.4611469156
288	0.461035936
289	0.4609394609
290	0.4608406028
291	0.460803674
292	0.4607118124
293	0.4606110101
294	0.4605301486
295	0.460445738
296	0.4603483212
297	0.4603010076
298	0.460178759
299	0.4600624191
300	0.4599714182
301	0.4598418325
302	0.459743308
303	0.459734834
304	0.4595689932
305	0.4594502594
306	0.4593375255
307	0.4593282431
308	0.4592286988
309	0.4590835871
310	0.458971997
311	0.4589323652
312	0.4588206306
313	0.4587289556
314	0.4586720711
315	0.4585671963
316	0.4584259155
317	0.4583475623
318	0.4582334045
319	0.4581657158
320	0.4580568722
321	0.4579185417
322	0.4578484884
323	0.4577678945
324	0.4576909122
325	0.4575779213
326	0.4574827667
327	0.4573392183
328	0.457230944
329	0.4571310766
330	0.4570296545
331	0.45691201
332	0.4568373998
333	0.4567334286
334	0.4566104707
335	0.4565010044
336	0.4563639171
337	0.4562623688
338	0.4561784935
339	0.4560396774
340	0.4559586443
341	0.4558773588
342	0.4557895884
343	0.4556952339
344	0.4556141513
345	0.4554721635
346	0.4553610349
347	0.4552972648
348	0.4552038991
349	0.4550912193
350	0.4549894454
351	0.4548820269
352	0.4547628962
353	0.4546755595
354	0.4546144184
355	0.4545007509
356	0.4544211409
357	0.4543173554
358	0.4542189887
359	0.4540959961
360	0.4539675603
361	0.4538740405
362	0.4537415279
363	0.4536417229
364	0.453560179
365	0.4534558209
366	0.4533839698
367	0.4532508492
368	0.4531823973
369	0.4530809304
370	0.4529968407
371	0.4528810285
372	0.4527798546
373	0.4527521981
374	0.4526613171
375	0.4525746003
376	0.4524738019
377	0.4524231192
378	0.4523218643
379	0.4522156524
380	0.4521986446
381	0.4521110662
382	0.4520028408
383	0.4519042341
384	0.4518060441
385	0.4517264213
386	0.4516536809
387	0.4515569773
388	0.451474909
389	0.4514253473
390	0.4513177096
391	0.4512332909
392	0.4511650616
393	0.4510420456
394	0.4510343616
395	0.4510097899
396	0.4509700796
397	0.4509165854
398	0.4508426495
399	0.4507213603
400	0.4506894393
401	0.4505430936
402	0.4504733115
403	0.4503450897
404	0.450264114
405	0.4501816691
406	0.4500616885
407	0.4499581741
408	0.4499540919
409	0.4498654349
410	0.4497973152
411	0.4497493341
412	0.4496983162
413	0.4495989803
414	0.449543148
415	0.4494713508
416	0.4494243154
417	0.4493593761
418	0.4492646276
419	0.4492603743
420	0.4491853039
421	0.449078007
422	0.4489936487
423	0.4488939406
424	0.4488277677
425	0.4487163763
426	0.4486517001
427	0.4485526014
428	0.4484623503
429	0.4484583431
430	0.4483604353
431	0.4482929337
432	0.4482081571
433	0.4481591768
434	0.4480850328
435	0.4480449287
436	0.4479608947
437	0.4478854508
438	0.4478289385
439	0.4477427103
440	0.4476770245
441	0.4475523515
442	0.4474778561
443	0.4474099989
444	0.4473225133
445	0.4472302945
446	0.4471335129
447	0.4470385939
448	0.4469766436
449	0.4469069979
450	0.4468475466
451	0.4468428522
452	0.4467499863
453	0.4466924369
454	0.4465606261
455	0.4464570611
456	0.4463880592
457	0.4462799265
458	0.4462070454
459	0.4461596163
460	0.446059862
461	0.4459876463
462	0.4459565104
463	0.445891288
464	0.4458058213
465	0.4457400408
466	0.4456854962
467	0.4456269943
468	0.4455104947
469	0.4454189967
470	0.4453107591
471	0.4452310456
472	0.4451357871
473	0.4451208908
474	0.4450228581
475	0.4450173819
476	0.4449570839
477	0.4448435735
478	0.4447363826
479	0.4446385477
480	0.4445766418
481	0.4444613967
482	0.4443994613
483	0.4443328902
484	0.4442242359
485	0.4441276868
486	0.4440485635
487	0.443949075
488	0.4438900021
489	0.4438144507
490	0.4436780631
491	0.4435934024
492	0.4435448596
493	0.4434614549
494	0.4433949839
495	0.4433457999
496	0.4432985677
497	0.4432387971
498	0.4431210167
499	0.4430292387
500	0.4429314934
501	0.4428007003
502	0.4427559711
503	0.4427208351
504	0.4426312679
505	0.4425669264
506	0.4424421499
507	0.4423557968
508	0.4422818802
509	0.4421711663
510	0.4421233982
511	0.4420170255
512	0.4419287217
513	0.4418609248
514	0.4417836605
515	0.4417816329
516	0.4416811499
517	0.4416046725
518	0.4415365411
519	0.4414657482
520	0.4414204147
521	0.4413587757
522	0.441276546
523	0.4412144362
524	0.4410984161
525	0.4410554633
526	0.4410032819
527	0.4409691005
528	0.4408907962
529	0.4407973047
530	0.4407533281
531	0.440647296
532	0.4405203693
533	0.4404957362
534	0.4403756902
535	0.4403192192
536	0.4402866515
537	0.4402838524
538	0.4402040473
539	0.4401991644
540	0.4400766733
541	0.4400563732
542	0.4399877641
543	0.4398978659
544	0.439839292
545	0.4398105564
546	0.4397136571
547	0.4396182837
548	0.4394855506
549	0.4394738194
550	0.4394175277
551	0.4393631912
552	0.4392852612
553	0.4392166962
554	0.4391430729
555	0.4390719683
556	0.4390323411
557	0.4388948604
558	0.4388112794
559	0.4387745943
560	0.4387724595
561	0.4387012696
562	0.4386549411
563	0.4386519182
564	0.4385649399
565	0.438458632
566	0.4383768253
567	0.438300663
568	0.438251472
569	0.438249216
570	0.4381534448
571	0.4380305862
572	0.4379085517
573	0.4378112562
574	0.4377007812
575	0.4375809955
576	0.4375059478
577	0.4374141086
578	0.4373594943
579	0.4372896618
580	0.4372024019
581	0.4371994613
582	0.4371141606
583	0.4371122615
584	0.4370758051
585	0.4370647302
586	0.4369855831
587	0.436905647
588	0.4369032486
589	0.4368280686
590	0.4367605006
591	0.4367064171
592	0.4366177897
593	0.4366165166
594	0.436540495
595	0.4364742156
596	0.4364386716
597	0.4363463146
598	0.4362593814
599	0.4361323514
600	0.4360582581
601	0.4359730473
602	0.4359006326
603	0.4358148117
604	0.4356989289
605	0.4356756088
606	0.4355667638
607	0.4354519296
608	0.4353748967
609	0.4353017088
610	0.4352146428
611	0.4351583125
612	0.4350819685
613	0.4349783978
614	0.4349234016
615	0.4348438062
616	0.4347742318
617	0.4347343566
618	0.4346671621
619	0.4345884894
620	0.4345057555
621	0.4344415366
622	0.4343896941
623	0.4343122099
624	0.4343106283
625	0.4342244225
626	0.43414866
627	0.4340611291
628	0.4339811347
629	0.4339178593
630	0.4338458599
631	0.4337922073
632	0.4337560549
633	0.4336711539
634	0.4335765191
635	0.4334876847
636	0.4333847054
637	0.4333206786
638	0.4332595326
639	0.433210916
640	0.4331381099
641	0.4330962069
642	0.4330634866
643	0.4329842272
644	0.4329317332
645	0.4328860116
646	0.4328195392
647	0.4327637266
648	0.432667332
649	0.4325643696
650	0.4324679086
651	0.4324099787
652	0.4322952998
653	0.4322277476
654	0.4321529109
655	0.432112021
656	0.4320578128
657	0.4319444193
658	0.4318561095
659	0.4317910393
660	0.4317130159
661	0.4316442582
662	0.4316329758
663	0.431562264
664	0.431472344
665	0.4314214938
666	0.4313484105
667	0.4313029703
668	0.4312392952
